web-scraper-start-url,yearrersults,yearrersults-href,Year ▴,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
"http://nflcombineresults.com/large-combine-data-update-complete/","1987 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1987&pos=&college=","null","Delton Hall","Clemson","CB","72.00","202","","4.48","3","30.5","112","4.61","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2015 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2015&pos=&college=","null","Javorius Allen","Southern California","RB","72.50","221","12","4.53","11","35.5","121","4.28","6.96"
"http://nflcombineresults.com/large-combine-data-update-complete/","2013 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2013&pos=&college=","null","Knile Davis","Arkansas","RB","71.38","227","","4.37","31","33.5","121","4.38","6.96"
"http://nflcombineresults.com/large-combine-data-update-complete/","1996 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1996&pos=&college=","null","John Fisher","Missouri Western","SS","70.50","197","","4.69","13","30.5","116","4.22","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2006 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2006&pos=&college=","null","Chad Greenway","Iowa","OLB","74.50","242","","4.80","16","33.5","117","4.22","7.00"
"http://nflcombineresults.com/large-combine-data-update-complete/","1993 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1993&pos=&college=","null","Steve Dark","Middle Tennessee State","TE","73.40","231","","4.77","28","34.0","118","4.21","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2004 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2004&pos=&college=","null","Adrien Clarke","Ohio State","OG","77.00","329","","5.49","","26.0","102","4.74","7.90"
"http://nflcombineresults.com/large-combine-data-update-complete/","1996 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1996&pos=&college=","null","Eric Smedley","Indiana","FS","71.80","204","","4.76","17","32.0","112","4.12","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2001 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2001&pos=&college=","null","Rudi Johnson","Auburn","RB","69.60","227","","4.57","24","37.5","119","4.22","7.32"
"http://nflcombineresults.com/large-combine-data-update-complete/","1997 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=1997&pos=&college=","null","Donnie Embra","Baylor","DT","74.90","286","","5.01","20","30.5","110","4.45","8.16"
"http://nflcombineresults.com/large-combine-data-update-complete/","2015 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2015&pos=&college=","null","Spencer Roth","Baylor","P","76.00","227","","5.06","","","","9.99","9.99"
"http://nflcombineresults.com/large-combine-data-update-complete/","2016 NFL Combine Results","http://nflcombineresults.com/nflcombinedata.php?year=2016&pos=&college=","null","Joe Thuney","North Carolina State","G","76.63","304","","4.95","28","28.5","110","4.54","7.47"
